vl_launch_value	nu_installments	dt_reference	day_reference	month_reference	year_reference	tp_installment	id_allocation	id_classification	id_subclassification
continuous	discrete	time	continuous	continuous	continuous	discrete	discrete	discrete	continuous
									
788.04	1	2017-10-02	2.0	10.0	2017.0	2	8	16	41.0
38.0	1	2017-03-24	24.0	3.0	2017.0	2	8	20	80.0
3740.0	1	2017-03-24	24.0	3.0	2017.0	2	8	16	35.0
90.0	1	2017-02-05	5.0	2.0	2017.0	2	8	20	69.0
937.0	1	2017-03-24	24.0	3.0	2017.0	2	8	20	91.0
979.22	1	2017-03-24	24.0	3.0	2017.0	2	8	20	90.0
1500.0	1	2017-03-24	24.0	3.0	2017.0	2	8	20	80.0
47.67	1	2017-03-24	24.0	3.0	2017.0	2	8	25	349.0
149.0	1	2017-08-30	30.0	8.0	2017.0	2	10	28	117.0
3740.0	1	2017-10-02	2.0	10.0	2017.0	2	8	16	35.0
3081.32	1	2017-10-02	2.0	10.0	2017.0	2	8	25	102.0
35.0	1	2017-10-02	2.0	10.0	2017.0	2	8	20	72.0
200.0	1	2017-08-30	30.0	8.0	2017.0	2	8	20	79.0
700.0	1	2017-03-24	24.0	3.0	2017.0	2	181	16	48.0
2342.0	1	2017-10-02	2.0	10.0	2017.0	2	9	16	36.0
906.76	1	2017-10-02	2.0	10.0	2017.0	2	9	16	46.0
614.4	1	2017-10-02	2.0	10.0	2017.0	2	8	25	108.0
867.37	1	2017-03-24	24.0	3.0	2017.0	2	8	16	41.0
3219.28	1	2017-03-24	24.0	3.0	2017.0	2	8	25	102.0
70.18	1	2017-03-24	24.0	3.0	2017.0	2	9	25	108.0
500.0	1	2017-10-02	2.0	10.0	2017.0	2	10	16	48.0
2327.0	1	2017-10-02	2.0	10.0	2017.0	2	8	16	36.0
2327.0	1	2017-10-02	2.0	10.0	2017.0	2	8	16	36.0
48.86	1	2017-03-24	24.0	3.0	2017.0	2	8	25	349.0
28.81	1	2017-10-02	2.0	10.0	2017.0	2	8	20	72.0
614.4	1	2017-03-24	24.0	3.0	2017.0	2	8	25	108.0
100.0	1	2017-06-09	9.0	6.0	2017.0	2	8	20	63.0
2000.0	1	2017-10-02	2.0	10.0	2017.0	2	10	28	117.0
200.0	1	2018-06-08	8.0	6.0	2018.0	2	8	9	182.0
3740.0	1	2017-10-02	2.0	10.0	2017.0	2	8	16	35.0
979.22	1	2017-10-02	2.0	10.0	2017.0	2	8	20	90.0
2414.0	1	2017-03-24	24.0	3.0	2017.0	2	9	16	36.0
2428.0	1	2017-03-24	24.0	3.0	2017.0	2	9	16	36.0
937.0	1	2017-03-24	24.0	3.0	2017.0	2	8	20	91.0
1250.0	1	2017-06-20	20.0	6.0	2017.0	2	8	28	117.0
